DOR Code,Municipality,County,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernment,Other Expenses,Debt Service
084,East Brookfield,WORCESTER,"439,922","735,510","218,049","314,370","2,541,352","485,234","78,489","118,391","703,501","59,779",687,0
085,East Longmeadow,HAMPDEN,"5,653,511","3,391,744","1,781,464","335,432","34,661,515","3,564,422","798,772","1,167,136","12,818,831","709,008","522,615","1,488,647"
086,Eastham,BARNSTABLE,"5,030,363","2,499,607","3,020,580","649,079","10,842,391","2,575,462","1,268,265","1,109,720","5,686,308","904,282",0,"6,332,912"
087,Easthampton,HAMPSHIRE,"3,088,221","4,000,973","3,243,613","736,405","18,806,236","2,309,694","787,556","1,308,939","10,362,175","2,875,378",0,"4,824,433"
088,Easton,BRISTOL,"2,830,107","5,173,135","6,637,630","665,660","49,267,423","4,223,472","876,264","703,224","17,152,654","1,429,658","156,975","7,014,410"
089,Edgartown,DUKES,"2,709,255","3,910,974","773,256","3,259,740","15,803,284","4,048,695","889,132","2,150,294","6,926,526","3,051,686",0,"766,423"
090,Egremont,BERKSHIRE,"788,390","620,847","220,945","93,423","2,105,474","761,661","143,641","84,424","638,196","1,767","24,716","312,092"
091,Erving,FRANKLIN,"1,444,034","514,959","377,937","118,531","5,331,999","1,200,008","252,837","376,605","1,926,081","266,081",0,0
092,Essex,ESSEX,"1,523,057","1,590,404","1,547,398","277,198","11,540,470","1,348,660","303,492","204,901","1,356,124","33,622",0,"755,997"
093,Everett,MIDDLESEX,"10,080,068","17,620,955","16,193,120","5,575,902","125,890,083","13,180,822","3,799,872","1,921,016","48,532,445","19,926,900","2,621,244","11,924,719"
094,Fairhaven,BRISTOL,"3,694,992","5,148,085","4,056,093","1,150,844","28,318,139","4,287,822","978,642","1,332,106","6,907,365","718,398",0,"1,131,556"
095,Fall River,BRISTOL,"8,989,895","24,541,681","20,009,240","1,105,049","181,932,757","17,026,839","2,152,028","3,861,464","40,395,494","36,515,659",0,"14,471,570"
096,Falmouth,BARNSTABLE,"8,210,203","8,144,496","11,089,147","3,978,044","60,568,805","20,343,507","2,158,231","5,566,349","27,895,339","4,975,598","1,129,314","13,422,320"
097,Fitchburg,WORCESTER,"6,584,905","9,436,771","8,924,676","639,570","90,725,941","8,951,450","1,708,277","2,408,321","20,613,991","1,265,310","149,267","3,420,035"
098,Florida,BERKSHIRE,"310,394","65,378",0,"2,766","1,723,758","886,329","63,901","25,428","653,041","72,114","1,690",0
099,Foxborough,NORFOLK,"4,102,614","5,633,971","5,684,278","1,033,179","41,765,945","3,240,321","1,254,405","1,250,784","16,488,768","2,696,001","858,394","3,385,923"
100,Framingham,MIDDLESEX,"12,030,847","18,186,876","17,030,276","1,506,912","175,324,565","14,538,629","2,088,258","7,057,073","64,937,095","8,128,538","43,763","16,155,889"
101,Franklin,NORFOLK,"13,411,958","6,976,298","7,773,893","1,413,024","75,371,794","5,935,289","1,119,769","1,826,509","14,303,406","7,172,610",0,"6,170,253"
102,Freetown,BRISTOL,"2,138,841","3,018,743","2,220,239","333,330","14,282,771","2,204,520","474,981","259,256","3,580,302","314,319","125,539","1,183,600"
103,Gardner,WORCESTER,"3,632,722","3,728,264","3,215,752","2,371,986","33,203,103","3,670,025","1,127,144","1,116,915","7,413,046","1,786,746","380,000","4,238,402"
